region,instance_type
ap-northeast-1,m5n.xlarge
ap-northeast-1,d3en.4xlarge
ap-northeast-1,g5.4xlarge
ap-northeast-1,r5a.large
ap-northeast-1,c7a.2xlarge
ap-northeast-1,d3en.2xlarge
ap-northeast-1,r6gd.medium
ca-central-1,r6i.24xlarge
ca-central-1,r5n.xlarge
ca-central-1,m6g.large
ca-central-1,m6i.2xlarge
ca-central-1,im4gn.4xlarge
ca-central-1,m7i-flex.2xlarge
ca-central-1,m6id.metal
ca-central-1,c6id.8xlarge
ca-central-1,m6g.12xlarge
ca-central-1,r5n.8xlarge
ca-central-1,c7i-flex.16xlarge
ca-central-1,t2.medium
ca-central-1,c6i.large
ca-central-1,r6i.xlarge
ca-central-1,c6i.xlarge
ca-central-1,r6g.medium
ca-central-1,u-6tb1.56xlarge
ca-central-1,t3.2xlarge
ca-central-1,m7i.8xlarge
ca-central-1,m6in.32xlarge
